,MAE,RMSE,R2
Linear Regression,2.276542968951796,3.0845225496085678,0.09191423679971307
Ridge Regression,2.274516556161646,3.0815846976060413,0.09522289273055498
Random Forest,3.8258443364802943,4.64427755097332,-2.320207027120041
Ensemble,2.0509519183572062,2.8354869575801436,0.6058970433231522
