,MAE,RMSE,R2
Linear Regression,2.8858100401160085,3.682100043467247,0.4062443856305097
Ridge Regression,2.8832449908726963,3.6789511187458617,0.4074841663731103
Random Forest,4.641649048758303,5.446515461090008,-0.7431872965642656
Ensemble,2.703092171454317,3.4943656573972555,0.7159396222020635
