,MAE,RMSE,R2
Linear Regression,2.6201360556738287,3.356962285868088,0.14510409204416613
Ridge Regression,2.6192005636706526,3.356775934008078,0.14500288109783174
Random Forest,3.317885878138211,4.099687040107642,-0.40722694674610055
Ensemble,1.831825349778811,2.3395879301674647,0.7010819744162258
